Date,FB_Close,GO_Close,AM_Close,SNP_500_Close
06/05/21,320.019989,2381.350098,3306.370117,4201.62
07/05/21,319.079987,2398.689941,3291.610107,4232.6
10/05/21,305.970001,2341.659912,3190.48999,4188.43
11/05/21,306.529999,2308.76001,3223.909912,4152.1
12/05/21,302.549988,2239.080078,3151.939941,4063.04
13/05/21,305.26001,2261.969971,3161.469971,4112.5
14/05/21,315.940002,2316.159912,3222.899902,4173.85
17/05/21,315.459991,2321.409912,3270.389893,4163.29
18/05/21,309.959991,2303.429932,3232.280029,4127.83
19/05/21,313.589996,2308.709961,3231.800049,4115.68
20/05/21,318.609985,2356.090088,3247.679932,4159.12
21/05/21,316.230011,2345.100098,3203.080078,4155.86
24/05/21,324.630005,2406.669922,3244.98999,4197.05
25/05/21,327.790009,2409.070068,3259.050049,4188.13
26/05/21,327.660004,2433.530029,3265.159912,4195.99
27/05/21,332.75,2402.51001,3230.110107,4200.88
28/05/21,328.730011,2411.560059,3223.070068,4204.11
01/06/21,329.130005,2429.810059,3218.649902,4202.04
02/06/21,329.149994,2421.280029,3233.98999,4208.12
03/06/21,326.040009,2404.610107,3187.01001,4192.85
04/06/21,330.350006,2451.76001,3206.219971,4229.89
07/06/21,336.579987,2466.090088,3198.01001,4226.52
08/06/21,333.679993,2482.850098,3264.110107,4227.26
09/06/21,330.25,2491.399902,3281.149902,4219.55
10/06/21,332.459991,2521.600098,3349.649902,4239.18
11/06/21,331.26001,2513.929932,3346.830078,4247.44
14/06/21,336.769989,2527.040039,3383.870117,4255.15
15/06/21,336.75,2520.659912,3383.129883,4246.59
16/06/21,331.079987,2513.929932,3415.25,4223.7
17/06/21,336.51001,2527.419922,3489.23999,4221.86
18/06/21,329.660004,2511.350098,3486.899902,4166.45
21/06/21,332.290009,2529.100098,3453.959961,4224.79
22/06/21,339.029999,2539.98999,3505.439941,4246.44
23/06/21,340.589996,2529.22998,3503.820068,4241.84
24/06/21,343.179993,2545.639893,3449.080078,4266.49
25/06/21,341.369995,2539.899902,3401.459961,4280.7
28/06/21,355.640015,2536.389893,3443.889893,4290.61
29/06/21,351.890015,2520.370117,3448.139893,4291.8
30/06/21,347.709991,2506.320068,3440.159912,4297.5
01/07/21,354.390015,2527.370117,3432.969971,4319.94
02/07/21,354.700012,2574.379883,3510.97998,4352.34
06/07/21,352.779999,2595.419922,3675.73999,4343.54
07/07/21,350.48999,2601.550049,3696.580078,4358.13
08/07/21,345.649994,2583.540039,3731.409912,4320.82
09/07/21,350.420013,2591.48999,3719.340088,4369.55
12/07/21,353.160004,2611.280029,3718.550049,4384.63
13/07/21,352.089996,2619.889893,3677.360107,4369.21
14/07/21,347.630005,2641.649902,3681.679932,4374.3
15/07/21,344.459991,2625.330078,3631.199951,4360.03
16/07/21,341.160004,2636.909912,3573.629883,4327.16
19/07/21,336.950012,2585.080078,3549.590088,4258.49
20/07/21,341.660004,2622.030029,3573.189941,4323.06
21/07/21,346.230011,2652.01001,3585.199951,4358.69
22/07/21,351.190002,2666.570068,3638.030029,4367.48
23/07/21,369.790009,2756.320068,3656.639893,4411.79
26/07/21,372.459991,2792.889893,3699.820068,4422.3
27/07/21,367.809998,2735.929932,3626.389893,4401.46
28/07/21,373.279999,2727.629883,3630.320068,4400.64
29/07/21,358.320007,2730.810059,3599.919922,4419.15
30/07/21,356.299988,2704.419922,3327.590088,4395.26
02/08/21,351.950012,2719.790039,3331.47998,4387.16
03/08/21,351.23999,2725.600098,3366.23999,4423.15
04/08/21,358.920013,2720.570068,3354.719971,4402.66
05/08/21,362.970001,2738.800049,3375.98999,4429.1
06/08/21,363.51001,2740.719971,3344.939941,4436.52
09/08/21,361.609985,2760.040039,3341.870117,4432.35
10/08/21,361.130005,2761.929932,3320.679932,4436.75
11/08/21,359.959991,2753.790039,3292.110107,4442.41
12/08/21,362.649994,2767.790039,3303.5,4460.83
13/08/21,363.179993,2768.120117,3293.969971,4468
16/08/21,366.559998,2778.320068,3298.98999,4479.71
17/08/21,358.450012,2746.01001,3241.959961,4448.08
18/08/21,355.450012,2731.399902,3201.219971,4400.27
19/08/21,355.119995,2738.27002,3187.75,4405.8
20/08/21,359.369995,2768.73999,3199.949951,4441.67
23/08/21,363.350006,2821.98999,3265.870117,4479.53
24/08/21,365.51001,2847.969971,3305.780029,4486.23
25/08/21,368.390015,2859,3299.179932,4496.19
26/08/21,364.380005,2842.459961,3316,4470
27/08/21,372.630005,2891.01001,3349.629883,4509.37
30/08/21,380.660004,2909.389893,3421.570068,4528.79
31/08/21,379.380005,2909.23999,3470.790039,4522.68
01/09/21,382.049988,2916.840088,3479,4524.09
02/09/21,375.279999,2884.379883,3463.120117,4536.95
03/09/21,376.26001,2895.5,3478.050049,4535.43
07/09/21,382.179993,2910.379883,3509.290039,4520.03
08/09/21,377.570007,2897.669922,3525.5,4514.07
09/09/21,378,2898.27002,3484.159912,4493.28
10/09/21,378.690002,2838.419922,3469.149902,4458.58
13/09/21,376.51001,2869.300049,3457.169922,4468.73
14/09/21,376.529999,2868.120117,3450,4443.05
15/09/21,373.920013,2904.120117,3475.790039,4480.7
16/09/21,373.059998,2887.469971,3488.23999,4473.75
17/09/21,364.720001,2829.27002,3462.52002,4432.99
20/09/21,355.700012,2780.340088,3355.72998,4357.73
21/09/21,357.480011,2792.929932,3343.629883,4354.19
22/09/21,343.209991,2818.77002,3380.050049,4395.64
23/09/21,345.959991,2836.530029,3416,4448.98
24/09/21,352.959991,2852.659912,3425.52002,4455.48
27/09/21,353.579987,2830.02002,3405.800049,4443.11
28/09/21,340.649994,2723.679932,3315.959961,4352.63
29/09/21,339.609985,2690.419922,3301.120117,4359.46
30/09/21,339.390015,2665.310059,3285.040039,4307.54
01/10/21,343.01001,2729.25,3283.26001,4357.04
04/10/21,326.230011,2675.300049,3189.780029,4300.46
05/10/21,332.959991,2723.540039,3221,4345.72
06/10/21,333.640015,2747.080078,3262.01001,4363.55
07/10/21,329.220001,2783.709961,3302.429932,4399.76
08/10/21,330.049988,2801.120117,3288.620117,4391.34
11/10/21,325.450012,2776.949951,3246.300049,4361.19
12/10/21,323.769989,2734.26001,3247.330078,4350.65
13/10/21,324.540009,2758,3284.280029,4363.8
14/10/21,328.529999,2828.23999,3299.860107,4438.26
15/10/21,324.76001,2833.5,3409.02002,4471.37
18/10/21,335.339996,2859.209961,3446.73999,4486.46
19/10/21,339.98999,2876.439941,3444.149902,4519.63
20/10/21,340.779999,2848.300049,3415.060059,4536.19
21/10/21,341.880005,2855.610107,3435.01001,4549.78
22/10/21,324.609985,2772.5,3335.550049,4544.9
25/10/21,328.690002,2775.459961,3320.370117,4566.48
26/10/21,315.809998,2793.439941,3376.070068,4574.79
27/10/21,312.220001,2928.550049,3392.48999,4551.68
28/10/21,316.920013,2922.580078,3446.570068,4596.42
29/10/21,323.570007,2965.409912,3372.429932,4605.38
01/11/21,329.980011,2875.47998,3318.110107,4613.67
02/11/21,328.079987,2917.26001,3312.75,4630.65
03/11/21,331.619995,2935.800049,3384,4660.57
04/11/21,335.850006,2973.659912,3477,4680.06
05/11/21,341.130005,2984.820068,3518.98999,4697.53
08/11/21,338.619995,2987.030029,3488.97998,4701.7
09/11/21,335.369995,2984.969971,3576.22998,4685.25
10/11/21,327.640015,2932.52002,3482.050049,4646.71
11/11/21,327.73999,2934.959961,3472.5,4649.27
12/11/21,340.890015,2992.909912,3525.149902,4682.85
15/11/21,347.559998,2987.76001,3545.679932,4682.8
16/11/21,342.959991,2981.52002,3540.699951,4700.9
17/11/21,340.769989,2981.23999,3549,4688.67
18/11/21,338.690002,3014.179932,3696.060059,4704.54
19/11/21,345.299988,2999.050049,3676.570068,4697.96
22/11/21,341.01001,2941.570068,3572.570068,4682.94
23/11/21,337.25,2935.139893,3580.040039,4690.7
24/11/21,341.059998,2934.350098,3580.409912,4701.46
26/11/21,333.119995,2856.120117,3504.560059,4594.62
29/11/21,338.029999,2922.280029,3561.570068,4655.27
30/11/21,324.459991,2849.040039,3507.070068,4567
01/12/21,310.600006,2832.360107,3443.719971,4513.04
02/12/21,310.390015,2875.530029,3437.360107,4577.1
03/12/21,306.839996,2850.409912,3389.790039,4538.43
06/12/21,317.869995,2875.929932,3427.370117,4591.67
07/12/21,322.809998,2960.72998,3523.290039,4686.75
08/12/21,330.559998,2974.409912,3523.159912,4701.21
09/12/21,329.820007,2962.120117,3483.419922,4667.45
10/12/21,329.75,2973.5,3444.23999,4712.02
13/12/21,334.48999,2934.090088,3391.350098,4668.97
14/12/21,333.73999,2899.409912,3381.830078,4634.09
15/12/21,341.660004,2947.370117,3466.300049,4709.85
16/12/21,334.899994,2896.77002,3377.419922,4668.67
17/12/21,333.790009,2856.060059,3400.350098,4620.64
20/12/21,325.450012,2848.030029,3341.580078,4568.02
21/12/21,334.200012,2884.409912,3408.340088,4649.23
22/12/21,330.450012,2938.97998,3420.73999,4696.56
23/12/21,335.23999,2942.850098,3421.370117,4725.79
27/12/21,346.179993,2961.280029,3393.389893,4791.19
28/12/21,346.220001,2928.959961,3413.219971,4786.35
29/12/21,342.940002,2930.090088,3384.02002,4793.06
30/12/21,344.359985,2920.050049,3372.889893,4778.73
31/12/21,336.350006,2893.590088,3334.340088,4766.18
03/01/22,338.540009,2901.48999,3408.090088,4796.56
04/01/22,336.529999,2888.330078,3350.439941,4793.54
05/01/22,324.170013,2753.070068,3287.139893,4700.58
06/01/22,332.459991,2751.02002,3265.080078,4696.05
07/01/22,331.790009,2740.090088,3251.080078,4677.03
10/01/22,328.070007,2771.47998,3229.719971,4670.29
11/01/22,334.369995,2800.350098,3307.23999,4713.07
12/01/22,333.26001,2832.959961,3304.139893,4726.35
13/01/22,326.480011,2782.620117,3224.280029,4659.03
14/01/22,331.899994,2795.72998,3242.76001,4662.85
18/01/22,318.149994,2725.810059,3178.350098,4577.11
19/01/22,319.589996,2713.040039,3125.97998,4532.76
20/01/22,316.559998,2670.129883,3033.350098,4482.73
21/01/22,303.170013,2601.840088,2852.860107,4397.94
24/01/22,308.709991,2607.439941,2890.879883,4410.13
25/01/22,300.149994,2534.709961,2799.719971,4356.45
26/01/22,294.630005,2584.800049,2777.449951,4349.93
27/01/22,294.640015,2582.419922,2792.75,4326.51
28/01/22,301.709991,2665.790039,2879.560059,4431.85
31/01/22,313.26001,2713.969971,2991.469971,4515.55
01/02/22,319,2757.570068,3023.870117,4546.54
02/02/22,323,2960.72998,3012.25,4589.38
03/02/22,237.759995,2853.01001,2776.909912,4477.44
04/02/22,237.089996,2860.320068,3152.790039,4500.53
07/02/22,224.910004,2778.76001,3158.709961,4483.87
08/02/22,220.179993,2784.26001,3228.27002,4521.54
09/02/22,232,2829.060059,3223.790039,4587.18
10/02/22,228.070007,2772.050049,3180.070068,4504.08
11/02/22,219.550003,2682.600098,3065.870117,4418.64
14/02/22,217.699997,2706,3103.340088,4401.67
15/02/22,221,2728.51001,3130.209961,4471.07
16/02/22,216.539993,2749.75,3162.01001,4475.01
17/02/22,207.710007,2646.169922,3093.050049,4380.26
18/02/22,206.160004,2609.350098,3052.030029,4348.87
22/02/22,202.080002,2588.050049,3003.949951,4304.76
23/02/22,198.449997,2551.699951,2896.540039,4225.5
24/02/22,207.600006,2653.469971,3027.159912,4288.7
25/02/22,210.479996,2690.389893,3075.77002,4384.65
28/02/22,211.029999,2697.820068,3071.26001,4373.94
01/03/22,203.490005,2683.360107,3022.840088,4306.26
02/03/22,208.110001,2695.030029,3041.050049,4386.54
03/03/22,202.970001,2686.159912,2957.969971,4363.49
04/03/22,200.059998,2642.439941,2912.820068,4328.87
07/03/22,187.470001,2529.290039,2749.060059,4201.09
08/03/22,190.289993,2545.570068,2720.290039,4170.7
09/03/22,198.5,2677.320068,2785.580078,4277.88
10/03/22,195.210007,2653.639893,2936.350098,4259.52
11/03/22,187.610001,2609.51001,2910.48999,4204.31
14/03/22,186.630005,2534.820068,2837.060059,4173.11
15/03/22,192.029999,2593.209961,2947.330078,4262.45
16/03/22,203.630005,2673.810059,3062.080078,4357.86
17/03/22,207.839996,2692.01001,3144.780029,4411.67
18/03/22,216.490005,2736.030029,3225.01001,4463.12
21/03/22,211.490005,2729.570068,3229.830078,4461.18
22/03/22,216.649994,2805.550049,3297.780029,4511.61
23/03/22,213.460007,2770.070068,3268.159912,4456.24
24/03/22,219.570007,2826.23999,3272.98999,4520.16
25/03/22,221.820007,2830.429932,3295.469971,4543.06
28/03/22,223.589996,2839,3379.810059,4575.52
29/03/22,229.860001,2865,3386.300049,4631.6
30/03/22,227.850006,2852.889893,3326.02002,4602.45
31/03/22,222.360001,2792.98999,3259.949951,4530.41
01/04/22,224.850006,2814,3271.199951,4545.86
04/04/22,233.889999,2872.850098,3366.929932,4582.64
05/04/22,231.839996,2821.26001,3281.100098,4525.12
06/04/22,223.300003,2743.52002,3175.120117,4481.15
07/04/22,222.949997,2729.300049,3155.689941,4500.21
08/04/22,222.330002,2680.209961,3089.209961,4488.28
11/04/22,216.460007,2595.929932,3022.439941,4412.53
12/04/22,214.139999,2567.48999,3015.75,4397.45
13/04/22,214.990005,2605.719971,3110.820068,4446.59
14/04/22,210.179993,2545.060059,3034.129883,4392.59
18/04/22,210.770004,2559.219971,3055.699951,4391.69
19/04/22,217.309998,2610.620117,3162.310059,4462.21
20/04/22,200.419998,2564.909912,3079.959961,4459.45
21/04/22,188.070007,2498.75,2965.919922,4393.66
22/04/22,184.110001,2392.280029,2887,4271.78
25/04/22,186.990005,2465,2921.47998,4296.12
26/04/22,180.949997,2390.120117,2787.820068,4175.2
27/04/22,174.949997,2300.409912,2763.340088,4183.96
28/04/22,205.729996,2388.22998,2891.929932,4287.5
29/04/22,200.470001,2299.330078,2485.629883,4131.93
02/05/22,211.130005,2343.139893,2490,4155.38
03/05/22,212.029999,2362.590088,2485.070068,4175.48
04/05/22,223.410004,2451.5,2518.570068,4300.17
05/05/22,208.279999,2334.929932,2328.139893,4146.87
06/05/22,203.770004,2313.199951,2295.449951,4123.34